,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Avarua,-21.2078,-159.775,82.45,78,20,13.8,1644183575
1,Pundaguitan,6.3711,126.1689,80.13,77,86,17.74,1644183576
2,Tuzla,44.5428,18.6694,35.56,93,0,2.3,1644183576
3,Tuktoyaktuk,69.4541,-133.0374,-25.6,75,75,18.41,1644183540
4,Saskylakh,71.9167,114.0833,-23.28,100,96,2.37,1644183576
5,Dikson,73.5069,80.5464,-19.32,99,94,11.43,1644183492
6,Port-Gentil,-0.7193,8.7815,80.08,82,22,11.63,1644183577
7,Vitória da Conquista,-14.8661,-40.8394,66.65,90,100,1.74,1644183577
8,Lavrentiya,65.5833,-171.0,-11.72,92,15,6.33,1644183577
9,Albany,42.6001,-73.9662,25.48,64,78,5.01,1644183331
10,Saint-Philippe,-21.3585,55.7679,78.35,81,100,13.15,1644183560
11,Nikolskoye,59.7035,30.7861,34.88,95,100,12.24,1644183578
12,Vaini,-21.2,-175.2,77.16,94,75,14.97,1644183528
13,Butaritari,3.0707,172.7902,81.86,76,38,16.87,1644183335
14,Bluff,-46.6,168.3333,55.8,63,1,7.67,1644183551
15,Mataura,-46.1927,168.8643,55.47,53,4,1.95,1644183348
16,George Town,5.4112,100.3354,78.75,93,40,1.01,1644183033
17,Yellowknife,62.456,-114.3525,-0.58,97,100,10.36,1644183470
18,Walvis Bay,-22.9575,14.5053,72.55,73,97,4.61,1644183579
19,Esperance,-33.8667,121.9,58.84,59,63,24.92,1644183579
20,Anadyr,64.75,177.4833,-19.52,75,0,6.71,1644183579
21,Provideniya,64.3833,-173.3,1.51,60,0,2.24,1644183579
22,Key West,24.5557,-81.7826,75.99,79,75,10.36,1644183297
23,Lebu,-37.6167,-73.65,64.06,74,0,13.89,1644183580
24,Airai,-8.9266,125.4092,60.71,89,89,2.01,1644183580
25,Hilo,19.7297,-155.09,75.25,88,100,3.44,1644183543
26,Klaksvík,62.2266,-6.589,34.72,55,89,35.81,1644183581
27,Ushuaia,-54.8,-68.3,60.46,63,75,9.22,1644183558
28,Cap Malheureux,-19.9842,57.6142,79.29,81,85,1.99,1644183536
29,Saint Paul Harbor,57.79,-152.4072,36.91,65,0,14.97,1644183581
30,Pangody,65.85,74.4859,-20.9,100,78,4.03,1644183581
31,Port Elizabeth,-33.918,25.5701,76.1,64,0,12.66,1644183582
32,Atocha,-20.9333,-66.2333,55.2,58,96,11.52,1644183582
33,Yulara,-25.2406,130.9889,66.04,52,0,6.91,1644183535
34,Pangnirtung,66.1451,-65.7125,-31.0,68,75,8.05,1644183352
35,Punta Arenas,-53.15,-70.9167,68.11,56,75,5.75,1644183583
36,Qaanaaq,77.484,-69.3632,-13.5,60,30,7.11,1644183561
37,Atuona,-9.8,-139.0333,77.88,78,9,18.14,1644183489
38,Isangel,-19.55,169.2667,80.71,94,100,13.8,1644183583
39,Grand-Santi,4.25,-54.3833,73.96,97,87,3.6,1644183583
40,Umeå,63.8284,20.2597,28.33,93,75,8.05,1644183583
41,Severo-Kuril'sk,50.6789,156.125,29.26,90,100,12.55,1644183584
42,Lac du Bonnet,50.2536,-96.0612,7.09,90,100,6.46,1644183584
43,Leningradskiy,69.3833,178.4167,-23.64,99,27,5.12,1644183584
44,Hamilton,39.1834,-84.5333,40.98,58,0,1.01,1644183585
45,Ust'-Ilimsk,58.0006,102.6619,8.06,98,100,3.2,1644183585
46,Labuhan,-6.8844,112.2051,77.2,89,100,5.06,1644183585
47,Hasaki,35.7333,140.8333,25.2,42,3,16.22,1644183586
48,Cherskiy,68.75,161.3,-31.4,100,22,1.77,1644183586
49,Faanui,-16.4833,-151.75,81.59,75,100,20.33,1644183586
50,Rikitea,-23.1203,-134.9692,79.25,70,3,17.38,1644183646
51,Longyearbyen,78.2186,15.6401,19.24,63,20,11.5,1644183585
52,Gravelbourg,49.8834,-106.5512,34.07,90,100,8.81,1644183647
53,Pánuco,22.05,-98.1667,64.58,48,3,11.25,1644183647
54,Pachino,36.7186,15.0907,51.84,81,96,15.32,1644183647
55,Steinbach am Taunus,50.1667,8.5667,41.99,87,75,11.5,1644183648
56,Puerto Ayora,-0.7393,-90.3518,85.96,85,43,8.01,1644183648
57,Pedernales,18.0384,-71.744,79.41,66,53,1.81,1644183648
58,Warrington,53.3925,-2.5802,43.25,81,40,7.0,1644183649
59,Hobyo,5.3505,48.5268,76.33,70,66,17.25,1644183467
60,Puerto Escondido,15.85,-97.0667,83.23,69,0,11.5,1644183649
61,Thoen,17.6129,99.2161,70.56,92,59,1.43,1644183649
62,Uglovoye,43.3289,132.0917,-9.36,77,39,0.0,1644183650
63,Baharly,38.4362,57.4316,38.7,65,96,6.06,1644183650
64,Gouyave,12.1646,-61.7296,81.37,74,40,18.41,1644183650
65,Bambous Virieux,-20.3428,57.7575,79.05,89,40,9.22,1644183651
66,Busselton,-33.65,115.3333,52.09,66,63,18.12,1644183651
67,Kapaa,22.0752,-159.319,79.2,73,75,5.01,1644183528
68,Hobart,-42.8794,147.3294,62.11,80,20,1.99,1644183562
69,Tiksi,71.6872,128.8694,-15.79,99,100,4.83,1644183651
70,Nanortalik,60.1432,-45.2371,17.08,65,100,24.32,1644183573
71,Vila Franca do Campo,37.7167,-25.4333,61.2,86,75,13.02,1644183629
72,Aykino,62.2248,49.9922,17.02,96,100,5.82,1644183652
73,Talaya,61.3833,152.75,-36.09,87,10,1.41,1644183652
74,Port Hardy,50.6996,-127.4199,46.76,76,100,21.85,1644183652
75,Iqaluit,63.7506,-68.5145,-36.31,65,20,1.99,1644183652
76,Bilma,18.6853,12.9164,62.96,15,0,8.16,1644183653
77,Caravelas,-17.7125,-39.2481,78.03,83,6,7.45,1644183653
78,Kaitangata,-46.2817,169.8464,57.92,73,3,4.36,1644183653
79,Srednekolymsk,67.45,153.6833,-37.46,100,67,1.81,1644183654
80,Ponta do Sol,32.6667,-17.1,63.23,70,10,12.37,1644183580
81,Asău,46.4333,26.4,39.4,61,100,6.2,1644183654
82,Raja,8.4596,25.678,65.97,21,68,4.18,1644183654
83,Tromsø,69.6496,18.957,30.22,59,0,16.11,1644183443
84,Gondanglegi,-7.7479,112.0132,74.43,96,100,4.25,1644183655
85,Mossamedes,-15.1961,12.1522,74.48,66,100,11.81,1644183655
86,Tuatapere,-46.1333,167.6833,55.81,54,2,3.4,1644183487
87,San Francisco,37.7749,-122.4194,70.43,51,0,1.01,1644183207
88,Meulaboh,4.1363,96.1285,74.66,91,100,4.03,1644183640
89,Kingsville,27.5159,-97.8561,66.29,54,100,3.0,1644183499
90,Lakatoro,-16.0999,167.4164,83.48,73,100,11.59,1644183656
91,Mahabalipuram,12.6264,80.1722,79.05,73,95,8.12,1644183656
92,Kaduqli,11.0167,29.7167,67.62,16,14,11.65,1644183656
93,Xining,36.6167,101.7667,8.19,93,89,2.57,1644183527
94,San Juan,-31.5375,-68.5364,82.42,27,0,7.83,1644183657
95,Saldanha,-33.0117,17.9442,66.25,96,25,9.73,1644183497
96,Pevek,69.7008,170.3133,-24.14,99,23,0.4,1644183657
97,Guaratinga,-16.5667,-39.5667,81.27,92,24,4.61,1644183658
98,Jamestown,42.097,-79.2353,35.19,28,0,13.8,1644183542
99,Naze,28.3667,129.4833,52.43,60,100,6.2,1644183658
100,Bredasdorp,-34.5322,20.0403,67.28,82,0,4.61,1644183718
101,Hithadhoo,-0.6,73.0833,82.02,72,21,13.31,1644183719
102,New Norfolk,-42.7826,147.0587,61.75,79,2,2.48,1644183719
103,Namatanai,-3.6667,152.4333,82.9,71,35,3.74,1644183719
